Department,Final Product Code,Final Product Name,Ingredient Prod Code,Ingredient Description,Pack Deliver,Weight,Recipe
,,,28888,CINNAMON GROUND,P/KG,0.01,0.1
,,,29737,TART BASE SWEET,EA,,40
,,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,0.6,0.4
BAKERY,28383,BREAD DOUGH,15736,W/CAPE MILL MIX WHT BRD,9.5KG,47.5,47.5
,,,28779,YEAST WET,P/KG,1,1
,,,29030,SPAR WATER,P/KG,24.7,24.7
BAKERY,32161,KOEKSISTERS,29030,SPAR WATER,P/KG,3,3
,,,27499,MIXED SPICE,P/KG,0.2,0.2
,,,29322,OIL VEGETABLE CHIPKINS,20LT,0.7,0.7
,,,27492,SUGAR WHITE HULETS,P/KG,0.3,0.3
,,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,0.4,0.266
,,,28779,YEAST WET,P/KG,0.25,0.25
,,,28833,DESI COCONUT,P/KG,2,2
,,,28667,WC MILLING SOFT ROLL MIX,12.5K,6,6
BAKERY,26808,SMALL MUFFIN,27267,ASS MUFFIN BATTER,P/KG,0.85,0.85
BAKERY,26799,APPLE SLICE,27492,SUGAR WHITE HULETS,P/KG,0.5,0.5
,,,28058,PIE APPLES BAKELS CHOICE GRADE,KG,2.7,2.7
,,,28291,INSTANT THICKENER,P/KG,0.3,0.3
,,,28888,CINNAMON GROUND,P/KG,0.05,0.05
,,,28564,PUFF PASTRY,EAC,2,1
BAKERY,27312,BUTTER BREAD,27987,10% BUTTER BREAD,P/KG,5,5
,,,15732,WC MILLING CAKE FLOUR,12.5K,25,25
,,,28779,YEAST WET,P/KG,0.8,0.8
,,,29030,SPAR WATER,P/KG,13,13
